Timestamp,GFO_Computed_Density,GFO_Accelerometer_Density,GFO_JB08,GFO_DTM2000,GFO_NRLMSISE-00
2023-04-23 13:47:57,8.883709244587123e-13,1.0547858e-12,5.243156741883184e-13,1.039460681800751e-12,7.008905e-13
2023-04-23 13:48:12,8.896268997451539e-13,1.033572e-12,5.257887719122449e-13,1.0382781441396025e-12,6.9885677e-13
2023-04-23 13:48:27,8.87873487608674e-13,9.6760493e-13,5.272486969950338e-13,1.0373409078238828e-12,6.9678367e-13
2023-04-23 13:48:42,8.809463550756646e-13,9.2504436e-13,5.287523410162686e-13,1.0366261306909592e-12,6.946837e-13
2023-04-23 13:48:57,8.82289201739172e-13,8.4433776e-13,5.303324660111756e-13,1.0361114999888698e-12,6.925649e-13
2023-04-23 13:49:12,8.847664725636283e-13,8.1143428e-13,5.32007430857939e-13,1.0357706863680606e-12,6.9042493e-13
2023-04-23 13:49:27,8.888279673758464e-13,7.4555618e-13,5.33789956308955e-13,1.0355786969750885e-12,6.8827474e-13
2023-04-23 13:49:42,8.851395558768184e-13,7.1839706e-13,5.356871563921956e-13,1.0355073667199346e-12,6.8613615e-13
2023-04-23 13:49:57,8.840580294666519e-13,6.8317631e-13,5.377050522865638e-13,1.0355307715171017e-12,6.8400277e-13
2023-04-23 13:50:12,8.851121429770697e-13,6.7384669e-13,5.398465378187835e-13,1.0356207087703832e-12,6.8189806e-13
2023-04-23 13:50:27,8.856882128863057e-13,6.6630107e-13,5.421148704306326e-13,1.0357521676204983e-12,6.7983065e-13
2023-04-23 13:50:42,8.877058230495782e-13,6.6404096e-13,5.445110521662293e-13,1.0358987829967257e-12,6.778098e-13
2023-04-23 13:50:57,8.720292163589344e-13,6.5935732e-13,5.470370093951267e-13,1.036038308064633e-12,6.7586236e-13
2023-04-23 13:51:12,8.655099510757479e-13,6.5481827e-13,5.496927408426317e-13,1.0361479616873692e-12,6.7398853e-13
2023-04-23 13:51:27,8.567978703395124e-13,6.4068755e-13,5.52479416124183e-13,1.0362099013190999e-12,6.722107e-13
2023-04-23 13:51:42,8.596977676314124e-13,6.3187632e-13,5.553964285002137e-13,1.036206458982623e-12,6.705408e-13
2023-04-23 13:51:57,8.535290813609005e-13,6.1528662e-13,5.584444677933468e-13,1.036125547452334e-12,6.690083e-13
2023-04-23 13:52:12,8.505896581497337e-13,6.0805603e-13,5.616225067295329e-13,1.035955728037597e-12,6.6761863e-13
2023-04-23 13:52:27,8.45066112561723e-13,5.8995243e-13,5.649308818865159e-13,1.0356915251992446e-12,6.663906e-13
2023-04-23 13:52:42,8.414626933951815e-13,5.7947485e-13,5.683682286991715e-13,1.0353283016729573e-12,6.653516e-13
2023-04-23 13:52:57,8.187280386052285e-13,5.6306162e-13,5.719345910390442e-13,1.0348674737433785e-12,6.6451353e-13
2023-04-23 13:53:12,8.129064235836677e-13,5.5806649e-13,5.756283206694953e-13,1.034311204047094e-12,6.6388713e-13
2023-04-23 13:53:27,8.090611273146994e-13,5.548837e-13,5.794492057916049e-13,1.0336674867911972e-12,6.635002e-13
2023-04-23 13:53:42,8.139017727971529e-13,5.5459174e-13,5.833953131149697e-13,1.0329446328104529e-12,6.633619e-13
2023-04-23 13:53:57,8.139017727971529e-13,5.5740909e-13,5.874661680651686e-13,1.0321562884914618e-12,6.6349405e-13
2023-04-23 13:54:12,8.165083760917021e-13,5.6049219e-13,5.91659565324583e-13,1.031315788517813e-12,6.6390746e-13
2023-04-23 13:54:27,8.130735630341884e-13,5.6879307e-13,5.959747790332719e-13,1.0304410988191601e-12,6.646089e-13
2023-04-23 13:54:42,8.121502405398008e-13,5.7658987e-13,6.00409320770527e-13,1.0295490500570384e-12,6.656266e-13
2023-04-23 13:54:57,8.191373846714033e-13,5.977386e-13,6.049621989577066e-13,1.0286602746880499e-12,6.6696133e-13
2023-04-23 13:55:12,8.20454373621865e-13,6.1113034e-13,6.09630633207594e-13,1.027793390891443e-12,6.686177e-13
2023-04-23 13:55:27,8.25791449254791e-13,6.3570815e-13,6.144133574908721e-13,1.0269699659165088e-12,6.7061753e-13
2023-04-23 13:55:42,8.310897952736397e-13,6.4635958e-13,6.193072766391777e-13,1.0262086811823105e-12,6.729539e-13
2023-04-23 13:55:57,8.394470613268894e-13,6.6301082e-13,6.243108288325914e-13,1.0255303853241474e-12,6.7564064e-13
2023-04-23 13:56:12,8.441449652143791e-13,6.7230694e-13,6.294206051422966e-13,1.0249523201544664e-12,6.7867603e-13
2023-04-23 13:56:27,8.471388443254869e-13,6.9276021e-13,6.346347516447294e-13,1.0244932589216777e-12,6.8206297e-13
2023-04-23 13:56:42,8.441407277616612e-13,7.0111059e-13,6.399495210800699e-13,1.024167777067032e-12,6.8579794e-13
2023-04-23 13:56:57,8.430605266835883e-13,7.1756012e-13,6.453627413193776e-13,1.0239915351478766e-12,6.898788e-13
2023-04-23 13:57:12,8.323979134625265e-13,7.2758457e-13,6.508703235859531e-13,1.023975651987134e-12,6.943016e-13
2023-04-23 13:57:27,8.333890635268477e-13,7.3942913e-13,6.564697791773545e-13,1.0241321055177499e-12,6.9905843e-13
2023-04-23 13:57:42,8.327887165536005e-13,7.4605175e-13,6.621566596711419e-13,1.0244681747026166e-12,7.0414134e-13
2023-04-23 13:57:57,8.290478781935771e-13,7.5778e-13,6.67928138313205e-13,1.0249919760231525e-12,7.095388e-13
2023-04-23 13:58:12,8.298595776843073e-13,7.6057243e-13,6.737793882694051e-13,1.0257069770470652e-12,7.152356e-13
2023-04-23 13:58:27,8.188561444574862e-13,7.5867169e-13,6.797072340817636e-13,1.026617658883675e-12,7.212292e-13
2023-04-23 13:58:42,8.085236476922769e-13,7.57225e-13,6.85706480559977e-13,1.0277241042283033e-12,7.2749505e-13
2023-04-23 13:58:57,7.981285878645513e-13,7.643045e-13,6.917736125484131e-13,1.0290277295094733e-12,7.3402184e-13
