UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,DTM-2000
2023-05-06 00:14:27,-4766531.924409163,539102.9240083103,4899271.315051011,-5436.789331684872,419.014131315091,-5334.004186911631,,,,-1.6613147035826614e-07,-6.260013285519507e-08,1.2655963210761456e-07,1.6982882644213366e-13,6.112764280078582e-13,1.3573634511329244e-12,1.533457397725304e-12,1.533457397725304e-12
2023-05-06 00:14:42,-4847418.359569794,545312.9862636975,4818583.008062329,-5347.815480258658,408.97464422410775,-5424.190877858436,,,,7.10016676563896e-08,-1.03234710779887e-07,-6.982476907779755e-08,-3.623297825558608e-14,6.120988967751016e-13,1.3600608199608917e-12,1.5293143503607228e-12,1.5293143503607228e-12
2023-05-06 00:14:57,-4926958.916412626,551371.590546623,4736553.0932624405,-5257.347183948196,398.8205702707358,-5512.876761717255,,,,2.2324930348815997e-08,-7.346994412849028e-08,1.303487096038225e-07,-7.284632297872574e-13,6.129135774534416e-13,1.3628848066978217e-12,1.5244047077625356e-12,1.5244047077625356e-12
2023-05-06 00:15:12,-5005131.428325511,557277.0456504175,4653204.33411441,-5165.409495554706,388.55473882990947,-5600.036775196976,,,,7.470230656281275e-08,-1.1719362036366476e-07,3.520286471214718e-07,-2.022630611367303e-12,6.137162940108327e-13,1.3657908210353516e-12,1.518756858622713e-12,1.5187568586227127e-12
2023-05-06 00:15:27,-5081913.980604665,563027.6887108191,4568559.743296924,-5072.0277507709525,378.1800012520241,-5685.646143240924,,,,-1.3105960317005838e-07,-7.205955476763394e-08,2.3098284440692399e-07,-5.691363686647077e-13,6.145046557817425e-13,1.3687357692195418e-12,1.5124089292188633e-12,1.5124089292188633e-12
2023-05-06 00:15:42,-5157285.170274781,568621.9153015539,4482642.823279827,-4977.227824772805,367.69924525755835,-5769.680673281793,,,,-2.8241153771091376e-07,-2.1264378369245666e-08,2.4948610199970744e-07,-3.5716815741951996e-14,6.15274416095596e-13,1.371671787384596e-12,1.505400889381555e-12,1.5054008893815547e-12
2023-05-06 00:15:57,-5231223.854478971,574058.1501012874,4395477.317022826,-4881.0358598620705,357.1153765310864,-5852.116459220472,,,,-1.5712620893282295e-07,-4.6573386480730505e-08,2.015945748112813e-07,-3.6180148743052666e-13,6.160231358425058e-13,1.3745533341183452e-12,1.4977818141546445e-12,1.4977818141546445e-12
2023-05-06 00:16:12,-5303709.419105569,579334.8757704557,4307087.439653912,-4783.478527361241,346.43133624348286,-5932.9301583412935,,,,-1.9470056589199205e-07,-3.6403717595945295e-08,1.104571243359942e-07,2.2112919858278526e-13,6.167465203724649e-13,1.3773308912087928e-12,1.4896018391762277e-12,1.4896018391762277e-12
2023-05-06 00:16:27,-5374721.5180408,584450.6043423497,4217497.638258384,-4684.582765797592,335.6500845841663,-6012.098715262902,,,,-1.7773202110049627e-07,-4.2330107752341923e-08,2.1413217599075554e-07,-3.9510224022625354e-13,6.17442102944457e-13,1.379958199239882e-12,1.4809192661994836e-12,1.4809192661994836e-12
2023-05-06 00:16:42,-5444240.348417254,589403.9073599088,4126732.815582489,-4584.376053496806,324.77462233043286,-6089.599660557777,,,,-1.443283412783103e-07,-5.5630240636261874e-08,1.2622843392762206e-07,-1.0565942879669341e-13,6.181055664433086e-13,1.382385919628146e-12,1.471792416281574e-12,1.471792416281574e-12
