Unnamed: 0,UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,latitude,longitude,altitude,nrlensys-00,NRLMSISE-00,AccelerometerDensity,EDR Density
2433,2021-03-19 08:08:12,-856034.1607735688,5144197.987695596,-4470211.608973892,-970.668650923632,4864.956404620181,5781.810357548089,,,,-2.3557234607451963e-08,-1.114051420003648e-07,-1.213856393178503e-07,-1.031278137790443e-12,1.2633217874206058e-13,1.5103832382892308e-13,1.5215602700374944e-13,-40.79777402520939,160.47410990538927,499601.6734621638,1.3455292e-13,1.3736127e-13,9.447715e-14,
2434,2021-03-19 08:08:27,-870475.2480289815,5216458.218915112,-4382869.070758205,-954.7654323142456,4769.51970232626,5863.591952165988,,,,-3.0152192742605166e-08,-7.137254343092536e-08,-1.858546738731093e-07,-1.183649618430242e-12,1.275936854254584e-13,1.5189941347653084e-13,1.528002442754443e-13,-39.843806831669454,160.44054014620718,499275.98588739446,1.3506415e-13,1.3782501e-13,9.6834722e-14,
2435,2021-03-19 08:08:42,-884675.7956111906,5287276.938983704,-4294311.93130807,-938.596713354308,4672.754938038554,5943.757167250501,,,,-3.0461177580320964e-08,-7.11407368569894e-08,-1.769330104650635e-07,-1.1447108315463249e-12,1.2885401331522897e-13,1.5271153495267321e-13,1.535016080629e-13,-38.88962290399625,160.4061783501281,498953.3979361261,1.3561597e-13,1.3833123e-13,9.7769416e-14,
2436,2021-03-19 08:08:57,-898631.8432532429,5356634.358736164,-4204564.551181791,-922.166905676396,4574.688616207777,6022.283280763639,,,,-3.4772237089697455e-08,-4.6036363166024337e-08,-1.81928187181768e-07,-1.075938324501415e-12,1.3011197864300302e-13,1.5347331911623464e-13,1.5425884818506517e-13,-37.93522424899732,160.37107144425087,498634.157544451,1.3620467e-13,1.3887537e-13,9.8197562e-14,
2437,2021-03-19 08:09:12,-912339.5197604354,5424511.224532787,-4113651.738794607,-905.4805221575012,4475.347750490633,6099.148162248301,,,,-2.8825435149926193e-08,-4.6692279376259194e-08,-1.656699737395684e-07,-1.0075289433775626e-12,1.3136592715670017e-13,1.541831815427123e-13,1.5506964214534349e-13,-36.9806130849909,160.33526311249483,498318.6857778652,1.3683104e-13,1.3946064e-13,9.8766936e-14,
2438,2021-03-19 08:09:27,-925794.9991575608,5490888.554109768,-4021598.5222558184,-888.542125411003,4374.75960510913,6174.329981038421,,,,-3.273596593800221e-08,-3.7297249733114774e-08,-2.053669625468047e-07,-1.1836841600137132e-12,1.3261460303242356e-13,1.5484033615131694e-13,1.5593166404338634e-13,-36.025791812289604,160.29879408713936,498007.22448725527,1.374947e-13,1.4008391e-13,1.0024234e-13,
2439,2021-03-19 08:09:42,-938994.5472751446,5555747.915181424,-3928430.360594044,-871.3563757514124,4272.95193734046,6247.807514051245,,,,-4.9912126875995e-08,-3.238169110630906e-08,-1.788143233483197e-07,-1.0231504989308148e-12,1.338562741258814e-13,1.5544377558923893e-13,1.568415765333786e-13,-35.07076305457834,160.26170240392133,497700.1882987219,1.381902e-13,1.4074118e-13,1.0079388e-13,
2440,2021-03-19 08:09:57,-951934.4769117892,5619071.154193049,-3834172.9235389945,-853.9279820676238,4169.952747113023,6319.559846863278,,,,-4.4636660812003015e-08,-1.6172350569831906e-08,-2.1776416314622793e-07,-1.1863180529723966e-12,1.350896193794708e-13,1.5599329743809536e-13,1.577961033706922e-13,-34.11552961983997,160.22402364198504,497397.8118027754,1.3891523e-13,1.414294e-13,1.0174412e-13,
2441,2021-03-19 08:10:12,-964611.1969326744,5680840.682535744,-3738852.29270543,-836.2617498449359,4065.790511904846,6389.566692104741,,,,-4.648288243203069e-08,-2.7774618160947284e-08,-1.6678783421042453e-07,-9.618763718808132e-13,1.3631283604285574e-13,1.564884713579357e-13,1.587910161495125e-13,-33.160094532625614,160.18579113933788,497100.5021376733,1.3967001e-13,1.4214903e-13,1.0286368e-13,
2442,2021-03-19 08:10:27,-977021.1644760252,5741039.197539158,-3642494.7509089825,-818.3625328053914,3960.4939430811255,6457.808081970353,,,,-4.2229555852202345e-08,1.9551984031807024e-08,-2.235500522473899e-07,-1.1237886859734164e-12,1.3752454580046154e-13,1.569296799554885e-13,1.5982223127109441e-13,-32.204461000611026,160.1470361745551,496808.485583422,1.4044896e-13,1.4289423e-13,1.0494328e-13,
