UTC,x,y,z,xv,yv,zv,EDR Density,Drag Work,Delta Energy,g_con_integ,g_noncon_integ,delta_v
2024-05-08 22:01:17,700957.8682036164,-1268774.444213892,-6707396.88614833,4210.597207909564,-6138.008070773591,1592.572543520485,2.3997065602639453e-11,33.87930766493082,-33.87930766493082,-0.0,0.0,-33.87930766493082
2024-05-08 22:01:18,705168.020528524,-1274911.6488234848,-6705800.087619627,4209.7343699778185,-6136.447588261086,1600.8245608553095,2.390071049063015e-11,33.74331371113658,-33.74331371113658,-0.0,0.0,-33.74331371113658
2024-05-08 22:01:19,709377.3069797993,-1281047.2883769837,-6704195.034020173,4208.8663646255545,-6134.879573403351,1609.0746038516595,2.380189285190358e-11,33.60384352877736,-33.60384352877736,-0.0,0.0,-33.60384352877736
2024-05-08 22:01:20,713585.7224422572,-1287181.3554331078,-6702581.7277349895,4207.993193161287,-6133.304028467148,1617.3226625917796,2.3700672231558294e-11,33.46098116785288,-33.46098116785288,-0.0,0.0,-33.46098116785288
2024-05-08 22:01:21,717793.2618007122,-1293313.842550575,-6700960.171149096,4207.114856893539,-6131.720955719243,1625.568727157915,2.359710819335034e-11,33.31481070443988,-33.31481070443988,-0.0,0.0,-33.31481070443988
2024-05-08 22:01:22,721999.9199399787,-1299444.7422881047,-6699330.366647513,4206.231357130823,-6130.130357426399,1633.8127876323103,2.349126031176564e-11,33.16541622951627,-33.16541622951627,-0.0,0.0,-33.16541622951627
2024-05-08 22:01:23,726205.6917448712,-1305574.047204414,-6697692.316615259,4205.342695181662,-6128.532235855383,1642.054834097211,2.338318820631026e-11,33.01288189738989,-33.01288189738989,-0.0,0.0,-33.01288189738989
2024-05-08 22:01:24,730410.5721002037,-1311701.749858222,-6696046.023437357,4204.448872354571,-6126.926593272959,1650.2948566348616,2.327295155996833e-11,32.85729195177555,-32.85729195177555,-0.0,0.0,-32.85729195177555
2024-05-08 22:01:25,734614.5558907911,-1317827.8428082466,-6694391.489498823,4203.549889958071,-6125.313431945889,1658.5328453275076,2.3160609987257235e-11,32.698730539530516,-32.698730539530516,-0.0,0.0,-32.698730539530516
2024-05-08 22:01:26,738817.6380014481,-1323952.3186132063,-6692728.717184679,4202.645749300678,-6123.692754140942,1666.768790257394,2.304622322419658e-11,32.5372819788754,-32.5372819788754,-0.0,0.0,-32.5372819788754
2024-05-08 22:01:27,743019.8133169886,-1330075.1698318194,-6691057.708879943,4201.736451690914,-6122.064562124881,1675.0026815067654,2.2929850991085436e-11,32.37303056567907,-32.37303056567907,-0.0,0.0,-32.37303056567907
2024-05-08 22:01:28,747221.0767222274,-1336196.3890228046,-6689378.466969637,4200.821998437293,-6120.428858164471,1683.2345091578668,2.281155302151389e-11,32.206060614436865,-32.206060614436865,-0.0,0.0,-32.206060614436865
2024-05-08 22:01:29,751421.4231019787,-1342315.9687448794,-6687690.993838781,4199.902390848334,-6118.785644526476,1691.4642632929435,2.2691389130952984e-11,32.0364565551281,-32.0364565551281,-0.0,0.0,-32.0364565551281
2024-05-08 22:01:30,755620.8473410571,-1348433.9015567629,-6685995.291872395,4198.977630232558,-6117.134923477661,1699.6919339942406,2.2569419055784602e-11,31.864302705973387,-31.864302705973387,-0.0,0.0,-31.864302705973387
2024-05-08 22:01:31,759819.3443242772,-1354550.1800171733,-6684291.363455496,4198.047717898481,-6115.47669728479,1707.9175113440026,2.244570266437651e-11,31.689683571457863,-31.689683571457863,-0.0,0.0,-31.689683571457863
2024-05-08 22:01:32,764016.9089364534,-1360664.7966848284,-6682579.210973106,4197.112655154622,-6113.81096821463,1716.1409854244748,2.2320299764448364e-11,31.51268357038498,-31.51268357038498,-0.0,0.0,-31.51268357038498
2024-05-08 22:01:33,768213.5360623999,-1366777.7441184474,-6680858.836810246,4196.1724433095005,-6112.137738533944,1724.3623463179024,2.2193270229710147e-11,31.333387214690447,-31.333387214690447,-0.0,0.0,-31.333387214690447
2024-05-08 22:01:34,772409.2205869313,-1372889.0148767482,-6679130.243351934,4195.227083671632,-6110.457010509497,1732.5815841065298,2.2064673957628997e-11,31.15187904983759,-31.15187904983759,-0.0,0.0,-31.15187904983759
2024-05-08 22:01:35,776603.9573948622,-1378998.6015184487,-6677393.43298319,4194.276577549536,-6108.7687864080535,1740.798688872603,2.193457082455742e-11,30.968243591487408,-30.968243591487408,-0.0,0.0,-30.968243591487408
2024-05-08 22:01:36,780797.7413710069,-1385106.496602268,-6675648.408089036,4193.320926251732,-6107.073068496378,1749.0136506983658,2.180302076751412e-11,30.78256544098258,-30.78256544098258,-0.0,0.0,-30.78256544098258
2024-05-08 22:01:37,784990.5674001799,-1391212.692686924,-6673895.171054489,4192.360131086737,-6105.369859041238,1757.2264596660643,2.167008369709434e-11,30.594929162412882,-30.594929162412882,-0.0,0.0,-30.594929162412882
2024-05-08 22:01:38,789182.4303671957,-1397317.182331135,-6672133.7242645705,4191.3941933630695,-6103.659160309393,1765.4371058579425,2.153581960299728e-11,30.405419431626797,-30.405419431626797,-0.0,0.0,-30.405419431626797
2024-05-08 22:01:39,793373.3251568687,-1403419.9580936197,-6670364.0701043,4190.423114389249,-6101.940974567612,1773.645579356246,2.140028842471888e-11,30.214120853692293,-30.214120853692293,-0.0,0.0,-30.214120853692293
2024-05-08 22:01:40,797563.2466540134,-1409521.0125330957,-6668586.210958698,4189.446895473793,-6100.215304082659,1781.8518702432195,2.126355016235584e-11,30.021118119359016,-30.021118119359016,-0.0,0.0,-30.021118119359016
