UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 01:01:57,6.666806497899104e-13,3.6307394928953e-13,9.435057010956215e-13,9.375586509593428e-13,4.1887485e-13,6.4406667e-13,6.614381014356533e-13
2023-05-06 01:02:12,6.659447513654438e-13,3.659573332906143e-13,9.405079820634409e-13,9.376438926486315e-13,4.2233114e-13,6.4641597e-13,6.634735511405309e-13
2023-05-06 01:02:27,6.651650517460308e-13,3.6890318340271467e-13,9.375130295967005e-13,9.37479813778312e-13,4.2944028e-13,6.507276e-13,6.6542574580319e-13
2023-05-06 01:02:42,6.644342826633193e-13,3.7190879508104234e-13,9.345481067294318e-13,9.371387984876373e-13,4.3300048e-13,6.530687e-13,6.673806010987686e-13
2023-05-06 01:02:57,6.640232967607342e-13,3.749724339516988e-13,9.31642805990449e-13,9.36663880919901e-13,4.4152489e-13,6.57341e-13,6.696047522908282e-13
2023-05-06 01:03:12,6.636119718310545e-13,3.780911735054994e-13,9.288241415749207e-13,9.359294994887973e-13,4.4501555e-13,6.5967175e-13,6.717740444029581e-13
2023-05-06 01:03:27,6.631380102696151e-13,3.8126307039392497e-13,9.261212205714834e-13,9.3466537447387e-13,4.5863174e-13,6.638964e-13,6.738227710776255e-13
2023-05-06 01:03:42,6.628058656018351e-13,3.844849694600647e-13,9.235603578538945e-13,9.32947153989656e-13,4.6417141e-13,6.662276e-13,6.759537207297458e-13
2023-05-06 01:03:57,6.625841015770278e-13,3.8775471460289333e-13,9.211697679333282e-13,9.301401605711738e-13,4.70101e-13,6.7043837e-13,6.78133473559138e-13
2023-05-06 01:04:12,6.626982090288154e-13,3.9106891689782427e-13,9.189746927032473e-13,9.26517976425151e-13,4.72539e-13,6.7277753e-13,6.805845234271215e-13
2023-05-06 01:04:27,6.63054638685203e-13,3.944252019626773e-13,9.17002112429112e-13,9.232492581794875e-13,4.7532717e-13,6.7700793e-13,6.832127021000976e-13
2023-05-06 01:04:42,6.635192644136332e-13,3.978199386453525e-13,9.152758779586614e-13,9.204456116127445e-13,4.7842788e-13,6.793528e-13,6.858902260604802e-13
2023-05-06 01:04:57,6.641437418259147e-13,4.012505253708177e-13,9.138214422156024e-13,9.178876739358662e-13,4.8485974e-13,6.8362763e-13,6.886783138464478e-13
2023-05-06 01:05:12,6.649021131975632e-13,4.04713073850084e-13,9.12660979917955e-13,9.14482961351805e-13,4.8812806e-13,6.8602155e-13,6.915546140761161e-13
2023-05-06 01:05:27,6.657946569295764e-13,4.082047422350381e-13,9.118181526209357e-13,9.097192884264012e-13,4.9741583e-13,6.903944e-13,6.945182139067258e-13
2023-05-06 01:05:42,6.666833746550295e-13,4.1172138321146e-13,9.113132276089506e-13,9.047718534420924e-13,5.0030908e-13,6.928578e-13,6.97434610717578e-13
2023-05-06 01:05:57,6.676394166385762e-13,4.1525991324124934e-13,9.111678518802126e-13,9.000864695585907e-13,5.0811283e-13,6.973735e-13,7.003853506433617e-13
2023-05-06 01:06:12,6.687451454993684e-13,4.18815914904868e-13,9.114001418105452e-13,8.951963660481755e-13,5.1291549e-13,6.99933e-13,7.034622089201989e-13
2023-05-06 01:06:27,6.700243524641331e-13,4.223860492044143e-13,9.120294803033645e-13,8.896049082298914e-13,5.2354183e-13,7.046599e-13,7.066912146833933e-13
2023-05-06 01:06:42,6.714597614957885e-13,4.259656124139201e-13,9.13071569478293e-13,8.834524431694687e-13,5.2900856e-13,7.073372e-13,7.100506206031872e-13
2023-05-06 01:06:57,6.730408762363475e-13,4.29550991228876e-13,9.145432531638353e-13,8.77879880076133e-13,5.3903299e-13,7.123233e-13,7.135286985075516e-13
2023-05-06 01:07:12,6.74582277037804e-13,4.331371751061162e-13,9.164575275541153e-13,8.727248479298989e-13,5.4515621e-13,7.1515043e-13,7.16946416538315e-13
2023-05-06 01:07:27,6.762536640860436e-13,4.3672025039564e-13,9.188283877966332e-13,8.670200804529638e-13,5.565154e-13,7.204324e-13,7.204827181006752e-13
2023-05-06 01:07:42,6.781893406982236e-13,4.402948602719223e-13,9.21665777316071e-13,8.600153649972822e-13,5.6214054e-13,7.2343113e-13,7.242805965367946e-13
2023-05-06 01:07:57,6.803202696335774e-13,4.4385673684727243e-13,9.249804717831237e-13,8.514429073723674e-13,5.7228483e-13,7.290581e-13,7.282724943149703e-13
2023-05-06 01:08:12,6.826147203610759e-13,4.474001125595794e-13,9.28778981671783e-13,8.42905268055614e-13,5.7587648e-13,7.322415e-13,7.324194464452355e-13
2023-05-06 01:08:27,6.847363294118426e-13,4.509202662567515e-13,9.33068462864929e-13,8.355313288587026e-13,5.8405337e-13,7.382275e-13,7.363825395788202e-13
2023-05-06 01:08:42,6.867140298182425e-13,4.5441084546827654e-13,9.378515417417068e-13,8.284662262281992e-13,5.8837159e-13,7.416022e-13,7.401966598981828e-13
2023-05-06 01:08:57,6.888948655224215e-13,4.578663697920808e-13,9.43131281367921e-13,8.214314946078375e-13,5.999754e-13,7.479506e-13,7.442109454285267e-13
2023-05-06 01:09:12,6.912808706315889e-13,4.612792844259172e-13,9.489059546681978e-13,8.136892108196169e-13,6.0537896e-13,7.5153035e-13,7.484306482177112e-13
2023-05-06 01:09:27,6.940563530273098e-13,4.646417247224591e-13,9.551740512047918e-13,8.041569815943571e-13,6.1699611e-13,7.582433e-13,7.530524312902164e-13
2023-05-06 01:09:42,6.970194895168449e-13,4.679496763407153e-13,9.619289539719425e-13,7.947356529605087e-13,6.2193311e-13,7.619861e-13,7.5788112143465e-13
2023-05-06 01:09:57,6.997103905690841e-13,4.712056864030973e-13,9.691640434522945e-13,7.873554904243497e-13,6.3171488e-13,7.690386e-13,7.62449388854966e-13
2023-05-06 01:10:12,7.020992890296355e-13,4.744094700550213e-13,9.768673234332673e-13,7.814421571988117e-13,6.3610997e-13,7.7294757e-13,7.667209129092205e-13
2023-05-06 01:10:27,7.04465001391169e-13,4.775615281279077e-13,9.85026601403086e-13,7.757367975370617e-13,6.4504198e-13,7.802884e-13,7.709757750982962e-13
2023-05-06 01:10:42,7.068421821625804e-13,4.806606679507638e-13,9.936240180354366e-13,7.693921399115735e-13,6.4816547e-13,7.843347e-13,7.752482334237724e-13
2023-05-06 01:10:57,7.094165044157712e-13,4.837069267443268e-13,1.0026413801215092e-12,7.621230149420654e-13,6.5337545e-13,7.919202e-13,7.797237089517718e-13
2023-05-06 01:11:12,7.124174297394531e-13,4.866988526796114e-13,1.0120546731488077e-12,7.563218910813973e-13,6.5643113e-13,7.960681e-13,7.846373719989515e-13
2023-05-06 01:11:27,7.152593475278252e-13,4.896363584871823e-13,1.0218394909147622e-12,7.540424216753763e-13,6.6506692e-13,8.0382353e-13,7.894054339555096e-13
