UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2023-03-23 10:30:35,-9.711596538846996e-10,-3.1882745053039626e-10,1.8859900851298288e-09,-8.274886769001528,-0.1010501679329193,-1.870798082970309
2023-03-23 10:30:36,-9.714899319894796e-10,-3.186053841634589e-10,1.897345140973508e-09,-8.27280257450656,-0.1011938953159087,-1.8800296205278249
2023-03-23 10:30:37,-9.718288364004853e-10,-3.1838337236262745e-10,1.908711545251955e-09,-8.27070797575836,-0.10133749646046092,-1.8892588198493319
2023-03-23 10:30:38,-9.721764500635981e-10,-3.181614155753917e-10,1.9200893233370985e-09,-8.268602975690339,-0.10148097128913182,-1.8984856687935534
2023-03-23 10:30:39,-9.725328561512217e-10,-3.1793951425767587e-10,1.931478500182957e-09,-8.26648757728908,-0.10162431972555046,-1.9077101552253681
2023-03-23 10:30:40,-9.728981380626452e-10,-3.1771766887382056e-10,1.9428791003245124e-09,-8.264361783594348,-0.10176754169423945,-1.9169322670168274
2023-03-23 10:30:41,-9.73272379419441e-10,-3.1749587989660474e-10,1.954291147876664e-09,-8.262225597699048,-0.10191063712043685,-1.9261519920481491
2023-03-23 10:30:42,-9.736556640652116e-10,-3.172741478072209e-10,1.965714666532674e-09,-8.26007902274916,-0.10205360592992024,-1.9353693182086915
2023-03-23 10:30:43,-9.7404807637143e-10,-3.1705247309764115e-10,1.9771496795111137e-09,-8.257922061780848,-0.10219644804683742,-1.944584233358655
2023-03-23 10:30:44,-9.74449702164373e-10,-3.1683085627772967e-10,1.98859620939427e-09,-8.25575471723263,-0.10233916338751431,-1.953796725210112
2023-03-23 10:30:45,-9.7486062779565e-10,-3.166092978683292e-10,2.0000542782779605e-09,-8.253576991434343,-0.10248175186622481,-1.9630067814417753
2023-03-23 10:30:46,-9.75280939831601e-10,-3.163877983989506e-10,2.0115239078217765e-09,-8.251388886769767,-0.10262421339702271,-1.9722143897385238
2023-03-23 10:30:47,-9.757107250502487e-10,-3.161663584077564e-10,2.0230051192478982e-09,-8.249190405676408,-0.10276654789359164,-1.9814195377922128
2023-03-23 10:30:48,-9.761500704396385e-10,-3.159449784415755e-10,2.034497933340162e-09,-8.246981550645208,-0.1029087552691037,-1.9906222133024465
2023-03-23 10:30:49,-9.765990631955555e-10,-3.157236590558848e-10,2.046002370442514e-09,-8.244762324220275,-0.10305083543608523,-1.9998224039773094
2023-03-23 10:30:50,-9.770577907193243e-10,-3.155024008148252e-10,2.057518450458403e-09,-8.242532728998563,-0.10319278830629229,-2.0090200975340555
2023-03-23 10:30:51,-9.775263406149503e-10,-3.152812042911836e-10,2.069046192849234e-09,-8.240292767629523,-0.10333461379059496,-2.0182152816997636
2023-03-23 10:30:52,-9.78004800687907e-10,-3.150600700664048e-10,2.080585616633404e-09,-8.23804244281482,-0.10347631179887233,-2.027407944211959
2023-03-23 10:30:53,-9.784932589419612e-10,-3.1483899873058104e-10,2.092136740385466e-09,-8.235781757307956,-0.10361788223991729,-2.0365980728191886
2023-03-23 10:30:54,-9.78991803577274e-10,-3.1461799088244857e-10,2.1036995822346287e-09,-8.233510713913914,-0.10375932502135161,-2.045785655281568
2023-03-23 10:30:55,-9.795005229885494e-10,-3.1439704712939594e-10,2.1152741598639766e-09,-8.231229315488882,-0.10390064004955345,-2.0549706793713014
2023-03-23 10:30:56,-9.80019505761605e-10,-3.141761680874506e-10,2.126860490509364e-09,-8.228937564939832,-0.10404182722959379,-2.06415313287315
2023-03-23 10:30:57,-9.805488406723987e-10,-3.139553543812741e-10,2.1384585909583915e-09,-8.226635465224248,-0.10418288646518585,-2.0733330035849002
2023-03-23 10:30:58,-9.810886166839674e-10,-3.137346066441686e-10,2.1500684775492695e-09,-8.224323019349784,-0.10432381765864462,-2.082510279317782
2023-03-23 10:30:59,-9.816389229444938e-10,-3.135139255180688e-10,2.1616901661699788e-09,-8.222000230373958,-0.10446462071085771,-2.0916849478968818
