,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
63,2003-10-27 22:15:47,4061486.4272447396,5415102.268309701,42992.264805056424,-327.7925443359356,172.89765293256195,7667.376539414597,-9.105680236487501e-06,-1.4604285531127914e-05,4.9674555815185095e-06,3.902788533351161e-12,3.0174952293790615e-12,3.2883172060188245e-12,4.034681521787761e-11
64,2003-10-27 22:16:02,4055981.748426738,5416911.573597177,157991.1085053963,-406.14582322371035,68.33866230464781,7665.431541343211,-1.1148383840975384e-05,-1.6484589770549007e-05,4.20688162552918e-06,3.908879064811986e-12,3.012987274217488e-12,3.2823887412698193e-12,3.72690137527931e-11
65,2003-10-27 22:16:17,4049302.617051958,5417152.297801901,272944.0817766036,-484.38623239095017,-36.246486577471515,7661.260477602099,-1.4878682949692745e-05,-1.816335413096226e-05,-1.6847582474666112e-06,3.914522098870009e-12,3.0074670706621722e-12,3.274580321638768e-12,-5.542908571245907e-12
66,2003-10-27 22:16:32,4041450.8405383867,5415824.20165249,387817.79645504506,-562.4908068242861,-140.82711996885462,7654.864212531727,-1.6550096815670656e-05,-1.7500853677354655e-05,-7.960590072464413e-06,3.919705107816923e-12,3.0010385728764907e-12,3.2650204912254814e-12,-5.1926129144088546e-11
67,2003-10-27 22:16:47,4032428.6859436063,5412927.65978671,502578.8908390954,-640.4366634130938,-245.37258338451318,7646.244465571772,-1.51625131108446e-05,-1.5189470421894669e-05,-9.91764248203797e-06,3.924401795032052e-12,2.9937661595249794e-12,3.253831445087741e-12,-6.58063908437818e-11
68,2003-10-27 22:17:02,4022238.6489347448,5408463.353265775,617194.0227037843,-718.2009587209175,-349.8522359809642,7635.403391046523,-1.2392404858729833e-05,-1.3063637233301506e-05,-7.0470615252116175e-06,3.9285996022098306e-12,2.985699571968821e-12,3.241151283615796e-12,-4.258674147072609e-11
69,2003-10-27 22:17:17,4010883.679977514,5402432.574935576,731629.9012687547,-795.7609261052306,-454.23547222079424,7622.344027719544,-9.716455013908387e-06,-1.2134422524567867e-05,-1.427698311240455e-06,3.932272177931871e-12,2.976854699547703e-12,3.2271084913645825e-12,2.3146367190282274e-12
70,2003-10-27 22:17:32,3998366.957074576,5394836.923723775,845853.2684191472,-873.0938304284573,-558.4916994909212,7607.069861089594,-9.076038256061736e-06,-1.343820264843032e-05,2.784951888656906e-06,3.935406632417672e-12,2.9672410276057114e-12,3.211844166428245e-12,3.830690399910155e-11
71,2003-10-27 22:17:47,3984692.113577796,5385678.611100484,959830.9452574787,-950.1769857788951,-662.590341569521,7589.585279156934,-1.0547364922786073e-05,-1.6052728598836552e-05,2.4240931948416033e-06,3.937975546751833e-12,2.956844338636873e-12,3.195486803066996e-12,4.083836521106281e-11
72,2003-10-27 22:18:02,3969863.009494582,5374960.154128607,1073529.7988521478,-1026.987742677317,-766.5008396071114,7569.895118156846,-1.1659708500033616e-05,-1.7328776282354852e-05,-1.939513086357536e-06,3.9399642575376584e-12,2.9456553666317695e-12,3.178174935688409e-12,1.0883505695438882e-11
73,2003-10-27 22:18:17,3953883.9561053067,5362684.67969978,1186916.8009177053,-1103.503548148523,-870.1926878523215,7548.005104763169,-1.1619439178822688e-05,-1.6736918863280437e-05,-6.777747863173644e-06,3.941342549337302e-12,2.9336530525147194e-12,3.1600326385186028e-12,-2.521242962831669e-11
74,2003-10-27 22:18:32,3936759.4898882033,5348855.619445536,1299958.9827464074,-1179.701907557672,-973.6354198550077,7523.92140805996,-1.0959850951230976e-05,-1.512652189639141e-05,-8.82739622332096e-06,3.942091036549829e-12,2.9208325135394078e-12,3.1411922896400067e-12,-4.094797903071212e-11
75,2003-10-27 22:18:47,3918494.5968399914,5333477.014128266,1412623.5092951811,-1255.560463127327,-1076.7986732718243,7497.651076333616,-1.107100623709556e-05,-1.4403837655052598e-05,-8.009060828984005e-06,3.942170633339653e-12,2.9071871809067e-12,3.121770513951965e-12,-3.240926193331173e-11
76,2003-10-27 22:19:02,3899094.48617526,5316553.207884297,1524877.6182291473,-1331.0569279466386,-1179.6521482568148,7469.201597131895,-1.188024430209822e-05,-1.4198492487516035e-05,-6.086358490309252e-06,3.94154098777551e-12,2.8927352047318727e-12,3.101891306814624e-12,-1.3768355410181931e-11
77,2003-10-27 22:19:17,3878564.810461592,5298089.149214842,1636688.7043815325,-1406.1691617137046,-1282.1656908467742,7438.581335845692,-1.1748379157516808e-05,-1.34559626205899e-05,-3.8021613395500253e-06,3.940174482997031e-12,2.877499982739764e-12,3.08166272143087e-12,5.564533503682943e-12
78,2003-10-27 22:19:32,3856911.4432895035,5278090.08768347,1748024.2484142294,-1480.8750927704916,-1384.3092201817021,7405.799107037512,-1.0828899693393623e-05,-1.2475090643171427e-05,-2.514251653540356e-06,3.938147427231176e-12,2.8615341545494443e-12,3.061199934701578e-12,1.524374587823348e-11
