UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,Unnamed: 14,latitude,longitude,altitude,AccelerometerDensity,NRLMSISE-00
2023-04-24 11:11:12,-4011094.471570739,368561.14165485813,5557893.155568671,-6161.145534927224,334.75733517178276,-4468.432849514472,,,,-2.9857643468744755e-08,-1.7029137844293277e-07,-2.179353106868121e-07,9.30992377507689e-13,,54.10968966881225,155.0387911712665,499889.0621050992,1.9554809e-12,1.418111e-12
2023-04-24 11:11:27,-4102952.9593849233,373531.3293336663,5490099.355566467,-6086.370972486634,327.9191629932756,-4570.531135533505,,,,-7.870049500979803e-08,-4.5768004053314826e-08,-1.7666644858138625e-07,1.0751877574078938e-12,,53.15796724310277,155.02339397095716,499552.5088609492,2.0052518e-12,1.4210772e-12
2023-04-24 11:11:42,-4193677.145875199,378398.259779088,5420783.501822715,-6009.905357587801,320.9896846412304,-4671.373363826657,,,,-3.8738926733117296e-08,3.2697620222510444e-08,-2.2716980030423889e-07,1.1030178450255616e-12,,52.206017573184965,155.0059544785803,499214.121372198,2.0149583e-12,1.4234904e-12
2023-04-24 11:11:57,-4283241.767769948,383160.57301508024,5349964.576905905,-5931.769379824986,313.9707992201924,-4770.931250068797,,,,-5.991266238680737e-08,1.0339211364840396e-07,-7.216089770167855e-08,6.18937475026028e-13,,51.25384037413598,154.9866256121923,498874.147594728,2.0012264e-12,1.4253537e-12
2023-04-24 11:12:12,-4371621.982331809,387816.94692474254,5277662.1248726845,-5851.984369972454,306.86443067220057,-4869.1769642325835,,,,-1.359745036566551e-07,1.9045691079799812e-08,3.95345765014099e-08,5.147728314296509e-13,,50.301435472479994,154.9655457837029,498533.0146393709,1.979975e-12,1.4266409e-12
2023-04-24 11:12:27,-4458793.161666236,392366.078621437,5203895.966949594,-5770.571974323868,299.67251318180587,-4966.082909962586,,,,-3.0695920294476764e-07,-9.393030958593229e-08,4.913354079150167e-08,1.266925928529272e-12,,49.34880278663357,154.94284059257257,498190.976809925,1.9138323e-12,1.4273278e-12
2023-04-24 11:12:42,-4544731.116715658,396806.704280433,5128686.471554602,-5687.554460070493,292.3969970661142,-5061.621971293248,,,,-2.895488551146741e-07,-1.59655796916347e-08,-2.414409081552549e-07,2.4204114954533935e-12,,48.39594237937121,154.91862428775187,497848.4662906512,1.8816265e-12,1.4274467e-12
2023-04-24 11:12:57,-4629411.8825793965,401137.5798055088,5052054.276942957,-5602.954400361778,285.0398455650081,-5155.767280466947,,,,-1.508061693300533e-07,-1.1132183502793325e-07,-2.700849721648524e-07,1.8637582960320537e-12,,47.44285443158161,154.8930010372292,497505.7413393168,1.8221609e-12,1.4269587e-12
2023-04-24 11:13:12,-4712811.95214737,405357.5009525712,4974020.553527622,-5516.7949712822765,277.603057476925,-5248.492482167886,,,,1.2765292112248974e-07,-3.928899994232182e-08,-1.2748783362326321e-08,-5.475623722469854e-13,,46.48953928592118,154.86606603161223,497163.23745854985,1.7810133e-12,1.4258855e-12
2023-04-24 11:13:27,-4794908.051546082,409465.28350808984,4894606.733970731,-5429.099641128802,270.0886546657564,-5339.771480362042,,,,-6.677915376229748e-08,-6.384211714838273e-09,1.191862395444332e-07,-2.3290667626822925e-13,,45.53599742301394,154.83790644587668,496821.2151949805,1.7535365e-12,1.424229e-12
2023-04-24 11:13:42,-4875677.3820577795,413459.7835286574,4813834.767773424,-5339.892444112145,262.49871569865644,-5429.578703700674,,,,-4.875867114506605e-07,-1.805366881546533e-07,2.047593650189583e-07,1.2196052742983489e-12,,44.58222950554893,154.80860228492614,496480.11123125337,1.7441675e-12,1.4219982e-12
2023-04-24 11:13:57,-4955097.386691062,417339.87791500153,4731726.858867263,-5249.197697017388,254.83534064042897,-5517.888838365936,,,,-3.9647478722315554e-07,-4.513053164512115e-08,-8.525006034432182e-08,2.1448225440766586e-12,,43.628236350790736,154.7782271116005,496140.1860881505,1.7283862e-12,1.419228e-12
2023-04-24 11:14:12,-5033146.000204194,421104.4866742678,4648305.712066488,-5157.040281012848,247.1006588432108,-5604.677075978322,,,,-2.054743823975969e-07,3.4152411454435594e-08,-4.760768064215881e-07,3.154985767912528e-12,,42.67401897344119,154.7468486824866,495801.87518898345,1.7216076e-12,1.4159113e-12
2023-04-24 11:14:27,-5109801.407577769,424752.5512646292,4563594.278969245,-5063.4453639963995,239.29680944237217,-5689.918870864203,,,,4.379230311712945e-09,6.052073486806364e-08,-1.366070137009956e-07,6.498200088655808e-13,,41.7195785564181,154.71452953327338,495465.4370401835,1.7134873e-12,1.4121052e-12
