MJD,UTC,EDR,rho_eff,jb08_rho,dtm2000_rho,nrlmsise00_rho
60069.789722222224,2023-05-05 18:57:12,-130.47010984271765,3.452324161814308e-14,5.386003930025292e-13,8.756569467534501e-13,8.660199270203071e-13
60069.79006944445,2023-05-05 18:57:42,-141.557731192559,3.7457098509139024e-14,5.42635016543985e-13,8.914122357200344e-13,8.817166864483535e-13
60069.79041666666,2023-05-05 18:58:12,-153.69153602793813,4.066778237063167e-14,5.464043272984425e-13,9.061594285460359e-13,8.969557969974881e-13
60069.79076388889,2023-05-05 18:58:42,-165.859996099025,4.388763623341515e-14,5.499108589658921e-13,9.196286061383104e-13,9.115922175997377e-13
60069.79111111111,2023-05-05 18:59:12,-177.0219854861498,4.684117139189241e-14,5.531588099859773e-13,9.31562844070914e-13,9.2549401049931e-13
60069.79145833333,2023-05-05 18:59:42,-186.25102438032627,4.928323524874812e-14,5.561540511715258e-13,9.417310737712162e-13,9.385447644045954e-13
60069.79180555556,2023-05-05 19:00:12,-193.5186948850751,5.12063082433134e-14,5.589041751517591e-13,9.499408214359556e-13,9.506456579093509e-13
60069.79215277778,2023-05-05 19:00:42,-200.1662080734968,5.2965283569082115e-14,5.614184149259429e-13,9.560495967988812e-13,9.61716862626807e-13
60069.7925,2023-05-05 19:01:12,-208.25888147577643,5.5106657708648797e-14,5.637075418242456e-13,9.599741769340006e-13,9.716984191953547e-13
60069.79284722222,2023-05-05 19:01:42,-219.0868971273303,5.79718212394703e-14,5.657837922466294e-13,9.616970565681232e-13,9.805506251849284e-13
60069.79319444444,2023-05-05 19:02:12,-232.71722535043955,6.157849494541153e-14,5.676606910288903e-13,9.612692699336445e-13,9.882536922481487e-13
60069.793541666666,2023-05-05 19:02:42,-248.51698440685868,6.5759214192684e-14,5.693529545102085e-13,9.58809594130824e-13,9.948069464228733e-13
60069.79388888889,2023-05-05 19:03:12,-265.1116559021175,7.015027245342408e-14,5.708763922917261e-13,9.5450005564935e-13,1.0002274539256695e-12
60069.79423611111,2023-05-05 19:03:42,-280.88798210024834,7.432479121363123e-14,5.722478159060997e-13,9.485781342179248e-13,1.0045481300243604e-12
60069.794583333336,2023-05-05 19:04:12,-294.64774027094245,7.796571292747622e-14,5.734849377596997e-13,9.413262974695152e-13,1.0078153866335863e-12
60069.79493055555,2023-05-05 19:04:42,-305.39244743064046,8.080883248825239e-14,5.7460623240986e-13,9.330596738728615e-13,1.0100863947852534e-12
60069.795277777775,2023-05-05 19:05:12,-311.9881019964814,8.255408568441229e-14,5.756308185967277e-13,9.241128845081389e-13,1.0114262079734941e-12
60069.795625,2023-05-05 19:05:42,-313.53840010240674,8.29643046698606e-14,5.765783572762428e-13,9.148269213822009e-13,1.011904911183218e-12
60069.79597222222,2023-05-05 19:06:12,-309.8545116558671,8.198952377109773e-14,5.774689267712099e-13,9.055367890392583e-13,1.011594910585931e-12
60069.796319444446,2023-05-05 19:06:42,-301.39881570264697,7.975209149795501e-14,5.783229301539695e-13,8.965605729509058e-13,1.0105686173790845e-12
60069.79666666667,2023-05-05 19:07:12,-288.8207574225962,7.642385527884896e-14,5.791609548009257e-13,8.881901825286389e-13,1.008896536078848e-12
60069.79701388889,2023-05-05 19:07:42,-272.74927014485,7.217123497277728e-14,5.800036477847012e-13,8.806840086728867e-13,1.0066459564795443e-12
60069.79736111111,2023-05-05 19:08:12,-254.18507317826152,6.725902743269827e-14,5.808716541380584e-13,8.742615193981881e-13,1.0038803700764186e-12
60069.79770833333,2023-05-05 19:08:42,-234.69781716540456,6.210257245141948e-14,5.817855040590815e-13,8.690994660517446e-13,1.0006594264222835e-12
60069.798055555555,2023-05-05 19:09:12,-216.152691911906,5.719541141095536e-14,5.827655013844415e-13,8.653295332188471e-13,9.97039458527647e-13
60069.79840277778,2023-05-05 19:09:42,-200.26492722705007,5.2991405300676937e-14,5.838316740104101e-13,8.63037259700252e-13,9.930745742256258e-13
60069.79875,2023-05-05 19:10:12,-187.81114595755935,4.9696053588745116e-14,5.850035969097867e-13,8.622617605864778e-13,9.888178927902399e-13
60069.799097222225,2023-05-05 19:10:42,-178.88389634341002,4.733384514279312e-14,5.863004421564906e-13,8.629965782174911e-13,9.843233233694023e-13
60069.79944444444,2023-05-05 19:11:12,-173.6986166201532,4.59617863244212e-14,5.877409098116502e-13,8.651911464971204e-13,9.796471958098116e-13
60069.799791666665,2023-05-05 19:11:42,-172.54760579019785,4.565722135520679e-14,5.893432574543251e-13,8.687531927174462e-13,9.748499272759347e-13
60069.80013888889,2023-05-05 19:12:12,-175.56334596127272,4.6455205864525184e-14,5.911253089072255e-13,8.735520155770543e-13,9.699974054613926e-13
60069.80048611111,2023-05-05 19:12:42,-182.72986190766096,4.835151270350687e-14,5.931045108038247e-13,8.794228523127406e-13,9.651620757343089e-13
60069.800833333335,2023-05-05 19:13:12,-193.4201165139675,5.1180223763671485e-14,5.952980328389739e-13,8.861724123438488e-13,9.60423626435117e-13
60069.80118055556,2023-05-05 19:13:42,-206.51416047289968,5.464499315719579e-14,5.977229274212925e-13,8.935855867344205e-13,9.558692128738887e-13
60069.80152777778,2023-05-05 19:14:12,-220.17900788411495,5.826080086534553e-14,6.003964383410487e-13,9.01433274292015e-13,9.5159326346968e-13
60069.801875,2023-05-05 19:14:42,-231.46655125543475,6.124755842654561e-14,6.033365251195058e-13,9.09481013933291e-13,9.476968454215007e-13
60069.80222222222,2023-05-05 19:15:12,-237.8798782080412,6.294456654762325e-14,6.065628220105686e-13,9.174980391501384e-13,9.442866847077276e-13
60069.80256944445,2023-05-05 19:15:42,-238.8755585923791,6.320803006830534e-14,6.100982866606273e-13,9.252660507801928e-13,9.414737504731463e-13
60069.80291666667,2023-05-05 19:16:12,-235.30477398261428,6.226317718209358e-14,6.139722125819269e-13,9.325869764458615e-13,9.393713388314605e-13
60069.80326388889,2023-05-05 19:16:42,-227.72044060751796,6.025631312766271e-14,6.182264139772831e-13,9.392892045944108e-13,9.3809271361265e-13
60069.803611111114,2023-05-05 19:17:12,-215.71237801387903,5.707890148306662e-14,6.229291286400508e-13,9.452317885939195e-13,9.377480316072645e-13
60069.80395833333,2023-05-05 19:17:42,-198.7173837982118,5.2581915220744004e-14,6.282107097982706e-13,9.503065608538187e-13,9.384399288531648e-13
60069.80430555555,2023-05-05 19:18:12,-175.9414220750332,4.655524726895978e-14,6.343724994792071e-13,9.544381754096156e-13,9.402549115748065e-13
60069.80465277778,2023-05-05 19:18:42,-143.4580664224923,3.795993959954314e-14,6.423119970383376e-13,9.575822574099485e-13,9.432391007432008e-13
60069.805,2023-05-05 19:19:12,-97.52939446642996,2.580691358422799e-14,6.552990225807523e-13,9.59722637275795e-13,9.47377292338631e-13
60069.805347222224,2023-05-05 19:19:42,-369.7818000838161,9.784667496390568e-14,6.422986429029563e-13,9.608680834809251e-13,9.547759059180947e-13
60069.80569444445,2023-05-05 19:20:12,-377.1510810293257,9.979663474350961e-14,6.211216292871529e-13,9.610493934508646e-13,9.619748524012647e-13
60069.80604166666,2023-05-05 19:20:42,-333.2020366601646,8.816743109317078e-14,6.145062032654164e-13,9.603171756759353e-13,9.706013410388007e-13
60069.80638888889,2023-05-05 19:21:12,-296.06918980926275,7.834183774195356e-14,6.109001623541281e-13,9.587404684016858e-13,9.808108728427748e-13
60069.80673611111,2023-05-05 19:21:42,-263.3177634961903,6.967559682816835e-14,6.084251825417856e-13,9.564062585668475e-13,9.925183746935314e-13
60069.80708333333,2023-05-05 19:22:12,-233.87396236136556,6.18845750994406e-14,6.065851705436004e-13,9.534195415868562e-13,1.0056432998999197e-12
60069.80743055556,2023-05-05 19:22:42,-207.56428997963667,5.49228642706265e-14,6.051957261954467e-13,9.499033824218009e-13,1.020080631467345e-12
60069.80777777778,2023-05-05 19:23:12,-184.30688866227865,4.876880426364716e-14,6.041709954622348e-13,9.459986203485702e-13,1.0356897710534668e-12
60069.808125,2023-05-05 19:23:42,-164.33288890868425,4.3483553715415486e-14,6.03463293283527e-13,9.418625501159958e-13,1.0522892271321577e-12
60069.80847222222,2023-05-05 19:24:12,-147.72344028577209,3.9088585330364064e-14,6.030417275229028e-13,9.376664664528085e-13,1.0696540808008736e-12
60069.80881944444,2023-05-05 19:24:42,-134.15549714118242,3.549841912289657e-14,6.028833047390208e-13,9.335918262964106e-13,1.0875154992748478e-12
60069.809166666666,2023-05-05 19:25:12,-123.24270220473409,3.261082244060342e-14,6.029688408212844e-13,9.298252697657931e-13,1.1055625822018374e-12
60069.80951388889,2023-05-05 19:25:42,-114.154176261276,3.020593922653231e-14,6.032808371289143e-13,9.265525915539795e-13,1.123446650173608e-12
60069.80986111111,2023-05-05 19:26:12,-105.58865011483432,2.793944516826404e-14,6.038023524114934e-13,9.239521693299555e-13,1.1407884134637877e-12
60069.810208333336,2023-05-05 19:26:42,-96.28812880814075,2.5478466599051995e-14,6.045164198149945e-13,9.221882735026225e-13,1.1571881927727786e-12
60069.81055555555,2023-05-05 19:27:12,-85.05992893874645,2.2507411715330378e-14,6.054056015276113e-13,9.214043814702356e-13,1.1722387858124112e-12
60069.810902777775,2023-05-05 19:27:42,-70.65199907124043,1.869497954498271e-14,6.064518649091539e-13,9.217172069544524e-13,1.1855410832623004e-12
60069.81125,2023-05-05 19:28:12,-52.361082419753075,1.3855083757833878e-14,6.076363894973919e-13,9.232112112333734e-13,1.1967211558292525e-12
60069.81159722222,2023-05-05 19:28:42,-30.53984411433339,8.081041846370497e-15,6.089395355177686e-13,9.25934112814616e-13,1.2054482574292208e-12
60069.811944444446,2023-05-05 19:29:12,-5.7462424747645855,1.5204932194192294e-15,6.10340759878827e-13,9.298931873073e-13,1.2114521142002801e-12
60069.81229166667,2023-05-05 19:29:42,20.803803633898497,-5.504822064573198e-15,6.118186123388541e-13,9.35052619122257e-13,1.2145383750699645e-12
60069.81263888889,2023-05-05 19:30:12,46.248837266117334,-1.223774384356026e-14,6.133507584681399e-13,9.413318877506091e-13,1.214600768481384e-12
60069.81298611111,2023-05-05 19:30:42,67.77083268761635,-1.7932604137130033e-14,6.149139242077186e-13,9.48605134901694e-13,1.2116286182691501e-12
60069.81333333333,2023-05-05 19:31:12,84.03475346043706,-2.223614360050058e-14,6.16483915489384e-13,9.567018516344879e-13,1.2057091870396165e-12
60069.813680555555,2023-05-05 19:31:42,94.36282700672746,-2.4969019191073537e-14,6.180356847197166e-13,9.654090257628684e-13,1.1970244733342239e-12
60069.81402777778,2023-05-05 19:32:12,98.12236735969782,-2.596381807746383e-14,6.195434483664778e-13,9.74474957547984e-13,1.1858426759662336e-12
