,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Accelerometer Density,Computed Density
4358,2023-05-05 18:09:57,-6805688.9673697185,629221.621811186,-599990.604585002,644.3628073688631,-196.7933186209707,-7598.634121530378,-8.450126007952608e-07,-1.0617606941447684e-05,3.8583644142018157e-07,5.762778320521821e-13,9.947285222117213e-13,1.132977262124793e-12,-1.1639691493323052e-12,1.174311227948325e-12
4359,2023-05-05 18:10:12,-6795077.84471493,626182.3984035384,-713881.1705192446,770.4222590812415,-208.4272455453857,-7586.421708677131,-8.487683842683241e-07,-1.0617422828143333e-05,3.8954276971886264e-07,5.730268240119065e-13,9.852299381603488e-13,1.1326957562118301e-12,-1.1718953977050587e-12,9.278376991194288e-13
4360,2023-05-05 18:10:27,-6782577.416825242,622969.0981710792,-827572.6843978547,896.2583101318859,-220.00244587476075,-7572.095170913535,-8.525277817013153e-07,-1.0617227418790377e-05,3.932667526369168e-07,5.696757209184913e-13,9.759645440297004e-13,1.1320025419048697e-12,-1.1803337695653636e-12,1.1042065454387737e-12
4361,2023-05-05 18:10:42,-6768191.389148294,619582.6345825447,-941033.4779455138,1021.8355457412916,-231.51567911263444,-7555.658977900676,-8.563961166990435e-07,-1.0616918877695043e-05,3.967129746320509e-07,5.662250022586307e-13,9.66945136032501e-13,1.1308525038980297e-12,-1.187503871406299e-12,1.3893380005772025e-12
4362,2023-05-05 18:10:57,-6751923.821028371,616023.9535286133,-1054231.9295262024,1147.1186098873784,-242.9637162324485,-7537.11800183438,-8.604989467684227e-07,-1.0616692937138592e-05,4.000826239332217e-07,5.62676962323972e-13,9.581846749293237e-13,1.1292072212810085e-12,-1.1947945661783894e-12,1.308857243565424e-12
4363,2023-05-05 18:11:12,-6733779.477518006,612294.0650222497,-1167136.523075355,1272.0722707303446,-254.34335018666232,-7516.477919104413,-8.647771528949082e-07,-1.0616382117416332e-05,4.0338387576264425e-07,5.59032176324408e-13,9.49690708972294e-13,1.1270290607298944e-12,-1.202289076737199e-12,1.3385335092915029e-12
4364,2023-05-05 18:11:27,-6713763.475599596,608394.0110661369,-1279715.801354168,1396.6613663414284,-265.65138428136197,-7493.744809848497,-8.692670651130191e-07,-1.0616070306293947e-05,4.065897447739402e-07,5.552929577481e-13,9.414710831748966e-13,1.1242879149336109e-12,-1.2098867874712274e-12,8.467100639616527e-13
4365,2023-05-05 18:11:42,-6691881.634266739,604324.8974995445,-1391938.4368554268,1520.8508902537533,-276.8846412581231,-7468.92556500233,-8.738648450162075e-07,-1.0615636063538302e-05,4.0975219384348344e-07,5.514598449230917e-13,9.335284746304436e-13,1.12095522604505e-12,-1.2178647335734047e-12,8.654486611147941e-13
4366,2023-05-05 18:11:57,-6668140.122009617,600087.8618489242,-1503773.173020224,1644.605922804776,-288.03995682332464,-7442.027478782441,-8.784794461813101e-07,-1.0615418010054634e-05,4.128441199256991e-07,5.475349911848437e-13,9.258660441301288e-13,1.1170106163407634e-12,-1.2258685439845872e-12,1.543955587521234e-12
4367,2023-05-05 18:12:12,-6642545.803293529,595684.1045528697,-1615188.9073512882,1767.8917360873995,-299.1141991070695,-7413.058647730799,-8.825857871819159e-07,-1.0613813813949286e-05,4.158116065541565e-07,5.43518654603947e-13,9.184820906848145e-13,1.1124358481118876e-12,-1.2331700207982247e-12,1.1250488164940776e-12
4368,2023-05-05 18:12:27,-6615105.88939202,591114.8572264087,-1726154.6202803934,1890.673705393031,-310.1042545884691,-7382.027565338648,-8.896855312294025e-07,-1.0622978050849063e-05,4.185062070498615e-07,5.394124272701768e-13,9.113756157371016e-13,1.1072212794203754e-12,-1.241134229309833e-12,8.697800939260656e-13
4369,2023-05-05 18:12:42,-6585828.282836499,586381.4132781639,-1836639.4698938625,2012.917427051632,-321.00705071894873,-7348.943510568907,-8.921888766889609e-07,-1.0614214733968193e-05,4.213503218463708e-07,5.352154943720143e-13,9.04541056950215e-13,1.1013597180492168e-12,-1.2478726460758745e-12,1.393274309691156e-12
4370,2023-05-05 18:12:57,-6554721.229569421,581485.096858493,-1946612.708948855,2134.588613615595,-331.8195341033084,-7313.816153065824,-8.9563132401629e-07,-1.0611711414873923e-05,4.24504828774448e-07,5.309267703430491e-13,8.979737982966322e-13,1.094852712105236e-12,-1.2566304728765976e-12,1.9461392674388608e-12
4371,2023-05-05 18:13:12,-6521793.657919569,576427.2932911008,-2056043.7912313368,2255.6532214884733,-342.53868698753166,-7276.655939727269,-8.992969035950399e-07,-1.0611371873579714e-05,4.2755748065777796e-07,5.265490112357463e-13,8.916650137991884e-13,1.087704346715971e-12,-1.264778589384055e-12,1.479665333177587e-12
4372,2023-05-05 18:13:27,-6487054.835884681,571209.4179069644,-2164902.2769202027,2376.077337384367,-353.16151008557387,-7237.473703770943,-9.033149241188035e-07,-1.0611096251661839e-05,4.3060221550747654e-07,5.220953505332147e-13,8.856070735521424e-13,1.079927291012725e-12,-1.2737756388366954e-12,8.640470506471312e-13
4373,2023-05-05 18:13:42,-6450514.707751988,565832.9448928046,-2273157.950737263,2495.827325408369,-363.6850423420911,-7196.281046440248,-9.071607717416224e-07,-1.0610772941013193e-05,4.3346900739553636e-07,5.175750897908131e-13,8.797884393371878e-13,1.0715364919748636e-12,-1.281611167953035e-12,5.362765476678494e-13
4374,2023-05-05 18:13:57,-6412183.553601697,560299.3779328195,-2380780.715342062,2614.8696930306264,-374.1063418393071,-7153.089947309924,-9.114189393295828e-07,-1.0610573134591768e-05,4.363216378072806e-07,5.129980099547436e-13,8.741990162128146e-13,1.06255502553891e-12,-1.290457499226479e-12,1.6687456214662093e-12
4375,2023-05-05 18:14:12,-6372072.320396423,554610.2798453742,-2487740.7206021673,2733.1712437904725,-384.422504979016,-7107.91313125436,-9.159237890086625e-07,-1.061024557665572e-05,4.3945483132820164e-07,5.083716376971759e-13,8.688251306369548e-13,1.0530077566706657e-12,-1.3018819505678789e-12,2.543202045301131e-12
4376,2023-05-05 18:14:27,-6330192.286146143,548767.2424710385,-2594008.2454754813,2850.698931223582,-394.6306483617131,-7060.763696933369,-9.206877580008952e-07,-1.0609864333045276e-05,4.4254997725460246e-07,5.037046140444983e-13,8.636548029623371e-13,1.042926967159609e-12,-1.3140238126063558e-12,1.4504494868670722e-12
4377,2023-05-05 18:14:42,-6286555.38616785,542771.914605035,-2699553.8380732187,2967.4200127818062,-404.7279310631296,-7011.655492848799,-9.254331582359415e-07,-1.0609621787068286e-05,4.453521242139105e-07,4.990036460140424e-13,8.586727909661511e-13,1.0323460040919616e-12,-1.3246810125023694e-12,1.3939562775299502e-12
4378,2023-05-05 18:14:57,-6241173.882330334,536625.9732244783,-2804348.1868781843,3083.30191031025,-414.71153652001937,-6960.602743005982,-9.302646550436222e-07,-1.0609339435808147e-05,4.480713914763467e-07,4.942766750475443e-13,8.538657812391338e-13,1.0213046939927298e-12,-1.33542740585548e-12,1.489826178855695e-12
4379,2023-05-05 18:15:12,-6194060.685402531,530331.1510794004,-2908362.2727062213,3198.312399310857,-424.578703137995,-6907.620423582147,-9.352811579866068e-07,-1.0609019535747033e-05,4.5093055877487843e-07,4.895298124143785e-13,8.492174684334183e-13,1.0098429947731937e-12,-1.347842632448883e-12,8.72487076730368e-13
4380,2023-05-05 18:15:27,-6145229.027508539,523889.20840589254,-3011567.2279048488,3312.419442283908,-434.32669749209555,-6852.723877376019,-9.405357299856089e-07,-1.0608757261185254e-05,4.537329069053376e-07,4.84770430076944e-13,8.447137073680955e-13,9.98006265871949e-13,-1.3609218379265892e-12,1.6496787684218213e-12
4381,2023-05-05 18:15:42,-6094692.777292941,517301.95961136464,-3113934.498615234,3425.591396066199,-443.952843866206,-6795.929161500437,-9.457427121790199e-07,-1.0608646316367483e-05,4.559962781004134e-07,4.80004150686187e-13,8.403376688621829e-13,9.858390228329393e-13,-1.3710995478121144e-12,1.6050721570409074e-12
4382,2023-05-05 18:15:57,-6042466.118733532,510571.2457517355,-3215435.6932839165,3537.7968172850774,-453.454493921954,-6737.252683288058,-9.505709028157547e-07,-1.0608714606880298e-05,4.574075784042648e-07,4.752378549625158e-13,8.36074912388687e-13,9.733900423384952e-13,-1.3756399689477816e-12,1.7976203922130053e-12
4383,2023-05-05 18:16:12,-5988563.860620455,503698.96030563815,-3316042.7557852757,3649.004667393564,-462.8290511230888,-6676.71153663675,-9.576813497052186e-07,-1.0620441935987051e-05,4.5759080421670143e-07,4.704767214578679e-13,8.319085866806327e-13,9.607062340171604e-13,-1.3761423019203363e-12,1.6853557704745625e-12
4384,2023-05-05 18:16:27,-5933001.121123501,496687.0225908956,-3415727.802623291,3759.1841132159498,-472.0739436505974,-6614.323156255957,-9.593664455518356e-07,-1.0609660094859382e-05,4.5935760703660427e-07,4.657271684081212e-13,8.278244427581531e-13,9.47837631536139e-13,-1.3779586203898592e-12,1.5647028124745985e-12
4385,2023-05-05 18:16:42,-5875793.631118693,489537.4028593772,-3514463.3053925014,3868.3047382359064,-481.18664675229303,-6550.105653536261,-9.639130056177787e-07,-1.0610651151525796e-05,4.60832226014044e-07,4.609939543259314e-13,8.23806086429473e-13,9.34831436061674e-13,-1.382640159716538e-12,1.9261239684756066e-12
4386,2023-05-05 18:16:57,-5816957.424540808,482252.096500214,-3612221.918452607,3976.3363399352993,-490.1646598350005,-6484.077476662938,-9.68368646528676e-07,-1.0610121040788471e-05,4.6280543675088853e-07,4.562830540389215e-13,8.198399267744888e-13,9.217369143348897e-13,-1.3906459729963592e-12,1.9284564154213333e-12
4387,2023-05-05 18:17:12,-5756509.134853393,474833.1485175383,-3708976.672133387,4083.2491551293806,-499.00553187476095,-6416.257744318883,-9.731534626255374e-07,-1.0609733675431058e-05,4.648051669980448e-07,4.515988176241133e-13,8.159104696074947e-13,9.08599639529193e-13,-1.4000828151133774e-12,1.8190559952924637e-12
4388,2023-05-05 18:17:27,-5694465.691955541,467282.62828582147,-3804700.7896233182,4189.013648616167,-507.7068377675145,-6346.6659063789775,-9.778240047762888e-07,-1.060949764946023e-05,4.66550864956567e-07,4.4694678487072e-13,8.120052042468066e-13,8.954663225399327e-13,-1.4079411086771696e-12,1.6957459790891244e-12
4389,2023-05-05 18:17:42,-5630844.611959758,459602.65304589085,-3899367.8895755815,4293.600757791363,-516.2662065195791,-6275.32206698841,-9.826850393379274e-07,-1.0609108297166456e-05,4.682352210916138e-07,4.42330904653797e-13,8.08109936577898e-13,8.82379276577437e-13,-1.4164720365379596e-12,1.240871729086692e-12
