UTC,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-05-04 22:20:12,-2.173550593478669e-13,4.959024232614122e-13,7.852039362393335e-13,8.017480717957639e-13,5892621.397841876,-605302.9442483385,-3497497.8398921024,3864.2365354504295,-238.84339026526166,6546.619546701608,2.500406255379062e-07,-7.06770244551791e-08,-1.8917102551085918e-07
2023-05-04 22:20:27,-1.4463520140320367e-13,4.999903595460566e-13,7.893619215138284e-13,8.061050339981155e-13,5949770.869252925,-608802.0754037072,-3398820.0940328613,3755.519002007867,-227.69684004050993,6610.109828479613,3.078276531454094e-07,-8.082804570097579e-08,-2.0333157380036937e-07
2023-05-04 22:20:42,-1.7102751368278687e-13,5.040948400439105e-13,7.937307683519257e-13,8.105553643217827e-13,6005281.750195537,-612133.5311790293,-3299203.6460509803,3645.757816872637,-216.4866700756228,6671.779834755873,2.722102170338303e-07,-9.728480887538637e-08,-1.8201644014226304e-07
2023-05-04 22:20:57,-1.0400182070436346e-13,5.082120221420728e-13,7.983230592151772e-13,8.151136991060442e-13,6059138.535302076,-615296.3727735265,-3198675.8881153096,3534.9830288830653,-205.21595695353705,6731.612112316038,3.137759359006509e-07,-8.229367121082021e-08,-1.8539369772696546e-07
2023-05-04 22:21:12,-1.7451181504507187e-13,5.123364742300866e-13,8.031487762833009e-13,8.197916415440668e-13,6111326.324815764,-618289.7227205911,-3097264.5549119576,3423.22508045945,-193.88780031218778,6789.5898777100765,3.134632127199666e-07,-8.151883834628393e-08,-1.9058943045990873e-07
2023-05-04 22:21:27,-8.449203415725557e-14,5.164640672919758e-13,8.082196472079332e-13,8.246020309342627e-13,6161830.52438299,-621112.7346601883,-2994997.547258703,3310.5146049776454,-182.5053117340246,6845.696684487841,3.4440834095761375e-07,-7.045486261070266e-08,-1.829070725989368e-07
2023-05-04 22:21:42,1.7641609546640205e-13,5.205890603838176e-13,8.135446438348136e-13,8.295542484356176e-13,6210637.155651925,-623764.6253243999,-2891903.0879827486,3196.882606053761,-171.0716275245571,6899.916764434423,3.820900467133015e-07,-5.222273180560677e-08,-1.481071656428412e-07
2023-05-04 22:21:57,8.129008305682648e-14,5.247070297976952e-13,8.191343645252362e-13,8.346585778008266e-13,6257732.551082987,-626244.6428689293,-2788009.5558505827,3082.360268835805,-159.58989545870176,6952.23469099191,3.754808641787122e-07,-7.056160122864696e-08,-1.542545295940556e-07
2023-05-04 22:22:12,4.734373234365488e-13,5.288118976305384e-13,8.249964470442715e-13,8.399214808174434e-13,6303103.670383774,-628552.098051849,-2683345.6313764015,2966.97913435913,-148.0632844659424,7002.635725995139,3.389022502631178e-07,-8.733118772585868e-08,-6.566134214125441e-08
2023-05-04 22:22:27,1.53959752527323e-13,5.328989023427641e-13,8.311400035391696e-13,8.453500759092263e-13,6346737.7895853305,-630686.3332744272,-2577940.14074905,2850.770917091337,-136.49497358589753,7051.105480943013,3.7130088248460424e-07,-6.899981830343904e-08,-1.2567956009235104e-07
2023-05-04 22:22:42,-6.377481908814581e-14,5.369615648559886e-13,8.375709428252261e-13,8.509473940461848e-13,6388622.82276532,-632646.7549083461,-2471822.191108248,2733.7676693416574,-124.88816114415968,7097.630277597942,3.3251773245979166e-07,-2.2350821970995582e-08,-1.3906933382656916e-07
2023-05-04 22:22:57,1.189648074023899e-13,5.409946950767719e-13,8.442964718360398e-13,8.567169935423761e-13,6428747.005269519,-634432.8014431287,-2365021.0244669635,2616.001604550936,-113.24605416456527,7142.196797210046,4.258423356162666e-07,-3.422658401142087e-08,-1.3688236233377893e-07
